Origin,Destination,Date range: 2021-01-25 - 2021-01-29 Time range: 07:00 - 09:00
Region 7,Region 13,3
Region 7,Region 14,0
Region 7,Region 15,0
Region 7,Region 16,1
Region 7,Region 17,3
Region 7,Region 18,27
Region 7,Region 19,2
Region 7,Region 20,1
Region 7,Region 21,0
Region 7,Region 22,15
Region 7,Region 23,0
Region 7,Region 24,5
Region 7,Region 25,1
Region 7,Region 26,0
Region 7,Region 27,1
Region 7,Region 28,3
Region 7,Region 29,0
Region 7,Region 30,0
Region 7,Region 31,0
Region 7,Region 32,1
Region 7,Region 33,2
Region 7,Region 34,0
Region 7,Region 35,0
Region 7,Region 36,1
Region 7,Region 37,14
Region 7,Region 38,1
Region 7,Region 39,0
Region 7,Region 40,0
Region 7,Region 41,3
Region 7,Region 42,0
Region 7,Region 43,2
Region 7,Region 44,0
Region 7,Region 45,0
Region 7,Region 46,0
Region 7,Region 47,0
Region 7,Region 48,0
Region 8,Region 1,0
Region 8,Region 2,3
Region 8,Region 3,2
Region 8,Region 4,15
Region 8,Region 5,21
Region 8,Region 6,38
Region 8,Region 7,13
Region 8,Region 8,67
Region 8,Region 9,7
Region 8,Region 10,0
Region 8,Region 11,9
Region 8,Region 12,1
Region 8,Region 13,4
Region 8,Region 14,0
Region 8,Region 15,0
Region 8,Region 16,1
Region 8,Region 17,10
Region 8,Region 18,46
Region 8,Region 19,6
Region 8,Region 20,5
Region 8,Region 21,2
Region 8,Region 22,120
Region 8,Region 23,0
Region 8,Region 24,14
Region 8,Region 25,5
Region 8,Region 26,1
Region 8,Region 27,4
Region 8,Region 28,3
Region 8,Region 29,4
Region 8,Region 30,1
Region 8,Region 31,1
Region 8,Region 32,4
Region 8,Region 33,3
Region 8,Region 34,2
Region 8,Region 35,6
Region 8,Region 36,4
Region 8,Region 37,128
Region 8,Region 38,2
Region 8,Region 39,7
Region 8,Region 40,3
Region 8,Region 41,9
Region 8,Region 42,0
Region 8,Region 43,10
Region 8,Region 44,20
Region 8,Region 45,1
Region 8,Region 46,1
Region 8,Region 47,0
Region 8,Region 48,14
Region 9,Region 1,1
Region 9,Region 2,1
Region 9,Region 3,1
Region 9,Region 4,9
Region 9,Region 5,16
Region 9,Region 6,2
Region 9,Region 7,1
Region 9,Region 8,6
Region 9,Region 9,42
Region 9,Region 10,0
Region 9,Region 11,11
Region 9,Region 12,2
Region 9,Region 13,5
Region 9,Region 14,0
Region 9,Region 15,0
Region 9,Region 16,1
Region 9,Region 17,5
Region 9,Region 18,7
Region 9,Region 19,3
Region 9,Region 20,2
Region 9,Region 21,3
Region 9,Region 22,27
Region 9,Region 23,19
Region 9,Region 24,2
Region 9,Region 25,6
Region 9,Region 26,7
Region 9,Region 27,13
Region 9,Region 28,5
Region 9,Region 29,0
Region 9,Region 30,2
Region 9,Region 31,0
Region 9,Region 32,7
Region 9,Region 33,3
Region 9,Region 34,2
Region 9,Region 35,1
Region 9,Region 36,0
Region 9,Region 37,30
Region 9,Region 38,1
Region 9,Region 39,5
Region 9,Region 40,2
Region 9,Region 41,16
Region 9,Region 42,1
Region 9,Region 43,5
Region 9,Region 44,5
Region 9,Region 45,0
Region 9,Region 46,0
Region 9,Region 47,0
Region 9,Region 48,12
Region 10,Region 1,0
Region 10,Region 2,0
Region 10,Region 3,0
Region 10,Region 4,0
Region 10,Region 5,0
Region 10,Region 6,0
Region 10,Region 7,0
Region 10,Region 8,0
Region 10,Region 9,0
Region 10,Region 10,4
Region 10,Region 11,0
Region 10,Region 12,0
Region 10,Region 13,0
Region 10,Region 14,0
Region 10,Region 15,0
Region 10,Region 16,0
Region 10,Region 17,0
Region 10,Region 18,3
Region 10,Region 19,0
Region 10,Region 20,0
Region 10,Region 21,0
Region 10,Region 22,6
Region 10,Region 23,0
Region 10,Region 24,0
Region 10,Region 25,0
Region 10,Region 26,0
Region 10,Region 27,0
Region 10,Region 28,0
Region 10,Region 29,0
Region 10,Region 30,0
Region 10,Region 31,0
Region 10,Region 32,0
Region 10,Region 33,0
Region 10,Region 34,0
Region 10,Region 35,0
Region 10,Region 36,0
Region 10,Region 37,3
Region 10,Region 38,0
Region 10,Region 39,0
Region 10,Region 40,0
Region 10,Region 41,0
Region 10,Region 42,0
Region 10,Region 43,0
Region 10,Region 44,0
Region 10,Region 45,0
Region 10,Region 46,0
Region 10,Region 47,0
Region 10,Region 48,0
Region 11,Region 1,2
Region 11,Region 2,0
Region 11,Region 3,2
Region 11,Region 4,14
Region 11,Region 5,6
Region 11,Region 6,3
Region 11,Region 7,3
Region 11,Region 8,10
Region 11,Region 9,10
Region 11,Region 10,0
Region 11,Region 11,49
Region 11,Region 12,1
Region 11,Region 13,0
Region 11,Region 14,1
Region 11,Region 15,0
Region 11,Region 16,1
Region 11,Region 17,0
Region 11,Region 18,24
Region 11,Region 19,7
Region 11,Region 20,0
Region 11,Region 21,4
Region 11,Region 22,30
Region 11,Region 23,3
Region 11,Region 24,3
Region 11,Region 25,2
Region 11,Region 26,5
Region 11,Region 27,5
Region 11,Region 28,11
Region 11,Region 29,0
Region 11,Region 30,2
Region 11,Region 31,0
Region 11,Region 32,4
Region 11,Region 33,1
Region 11,Region 34,1
Region 11,Region 35,0
Region 11,Region 36,0
Region 11,Region 37,45
Region 11,Region 38,0
Region 11,Region 39,5
Region 11,Region 40,0
Region 11,Region 41,2
Region 11,Region 42,1
Region 11,Region 43,1
Region 11,Region 44,6
Region 11,Region 45,0
Region 11,Region 46,0
Region 11,Region 47,0
Region 11,Region 48,8
Region 12,Region 1,3
Region 12,Region 2,2
Region 12,Region 3,1
Region 12,Region 4,4
Region 12,Region 5,8
Region 12,Region 6,2
Region 12,Region 7,1
Region 12,Region 8,2
Region 12,Region 9,2
Region 12,Region 10,0
Region 12,Region 11,8
Region 12,Region 12,13
Region 12,Region 13,1
Region 12,Region 14,0
Region 12,Region 15,1
Region 12,Region 16,4
Region 12,Region 17,3
Region 12,Region 18,3
Region 12,Region 19,6
Region 12,Region 20,0
Region 12,Region 21,8
Region 12,Region 22,9
Region 12,Region 23,3
Region 12,Region 24,8
Region 12,Region 25,2
Region 12,Region 26,3
Region 12,Region 27,6
Region 12,Region 28,4
Region 12,Region 29,0
Region 12,Region 30,2
Region 12,Region 31,0
Region 12,Region 32,3
Region 12,Region 33,1
Region 12,Region 34,5
Region 12,Region 35,0
Region 12,Region 36,1
Region 12,Region 37,22
Region 12,Region 38,1
Region 12,Region 39,4
Region 12,Region 40,1
Region 12,Region 41,1
Region 12,Region 42,1
Region 12,Region 43,3
Region 12,Region 44,4
Region 12,Region 45,0
Region 12,Region 46,0
Region 12,Region 47,0
Region 12,Region 48,14
Region 13,Region 1,0
Region 13,Region 2,1
Region 13,Region 3,0
Region 13,Region 4,0
Region 13,Region 5,3
Region 13,Region 6,0
Region 13,Region 7,1
Region 13,Region 8,1
Region 13,Region 9,3
Region 13,Region 10,0
Region 13,Region 11,0
Region 13,Region 12,0
Region 13,Region 13,9
Region 13,Region 14,1
Region 13,Region 15,2
Region 13,Region 16,0
Region 13,Region 17,1
Region 13,Region 18,6
Region 13,Region 19,0
Region 13,Region 20,0
Region 13,Region 21,3
Region 13,Region 22,4
Region 13,Region 23,2
Region 13,Region 24,0
Region 13,Region 25,3
Region 13,Region 26,0
Region 13,Region 27,7
Region 13,Region 28,0
Region 13,Region 29,1
Region 13,Region 30,0
Region 13,Region 31,0
Region 13,Region 32,12
Region 13,Region 33,1
Region 13,Region 34,0
Region 13,Region 35,1
Region 13,Region 36,1
Region 13,Region 37,13
Region 13,Region 38,0
Region 13,Region 39,0
Region 13,Region 40,1
Region 13,Region 41,1
Region 13,Region 42,0
Region 13,Region 43,2
Region 13,Region 44,0
Region 13,Region 45,0
Region 13,Region 46,0
Region 13,Region 47,0
Region 13,Region 48,4
Region 14,Region 1,0
Region 14,Region 2,2
Region 14,Region 3,3
Region 14,Region 4,1
Region 14,Region 5,0
Region 14,Region 6,1
Region 14,Region 7,0
Region 14,Region 8,0
Region 14,Region 9,0
Region 14,Region 10,0
Region 14,Region 11,5
Region 14,Region 12,3
Region 14,Region 13,1
Region 14,Region 14,7
Region 14,Region 15,3
Region 14,Region 16,2
Region 14,Region 17,4
Region 14,Region 18,0
Region 14,Region 19,1
Region 14,Region 20,1
Region 14,Region 21,1
Region 14,Region 22,7
Region 14,Region 23,0
Region 14,Region 24,0
Region 14,Region 25,2
Region 14,Region 26,0
Region 14,Region 27,1
Region 14,Region 28,3
Region 14,Region 29,0
Region 14,Region 30,2
Region 14,Region 31,0
Region 14,Region 32,15
Region 14,Region 33,2
Region 14,Region 34,0
Region 14,Region 35,0
Region 14,Region 36,3
Region 14,Region 37,20
Region 14,Region 38,0
Region 14,Region 39,1
Region 14,Region 40,3
Region 14,Region 41,1
Region 14,Region 42,0
Region 14,Region 43,5
Region 14,Region 44,0
Region 14,Region 45,0
Region 14,Region 46,0
Region 14,Region 47,0
Region 14,Region 48,9
Region 15,Region 1,1
Region 15,Region 2,1
Region 15,Region 3,1
Region 15,Region 4,0
Region 15,Region 5,0
Region 15,Region 6,2
Region 15,Region 7,0
Region 15,Region 8,1
Region 15,Region 9,1
Region 15,Region 10,0
Region 15,Region 11,1
Region 15,Region 12,1
Region 15,Region 13,1
Region 15,Region 14,4
Region 15,Region 15,4
Region 15,Region 16,1
Region 15,Region 17,0
Region 15,Region 18,2
Region 15,Region 19,0
Region 15,Region 20,0
Region 15,Region 21,1
Region 15,Region 22,1
Region 15,Region 23,0
Region 15,Region 24,1
Region 15,Region 25,1
Region 15,Region 26,0
Region 15,Region 27,4
Region 15,Region 28,0
Region 15,Region 29,0
Region 15,Region 30,1
Region 15,Region 31,0
Region 15,Region 32,7
Region 15,Region 33,2
Region 15,Region 34,0
Region 15,Region 35,0
Region 15,Region 36,0
Region 15,Region 37,7
Region 15,Region 38,0
Region 15,Region 39,1
Region 15,Region 40,1
Region 15,Region 41,0
Region 15,Region 42,0
Region 15,Region 43,0
Region 15,Region 44,1
Region 15,Region 45,0
Region 15,Region 46,0
Region 15,Region 47,0
Region 15,Region 48,1
Region 16,Region 1,0
Region 16,Region 2,0
Region 16,Region 3,2
Region 16,Region 4,4
Region 16,Region 5,2
Region 16,Region 6,0
Region 16,Region 7,0
Region 16,Region 8,2
Region 16,Region 9,2
Region 16,Region 10,0
Region 16,Region 11,2
Region 16,Region 12,0
Region 16,Region 13,1
Region 16,Region 14,1
Region 16,Region 15,2
Region 16,Region 16,2
Region 16,Region 17,7
Region 16,Region 18,1
Region 16,Region 19,3
Region 16,Region 20,2
Region 16,Region 21,2
Region 16,Region 22,5
Region 16,Region 23,0
Region 16,Region 24,1
Region 16,Region 25,0
Region 16,Region 26,0
Region 16,Region 27,1
Region 16,Region 28,2
Region 16,Region 29,0
Region 16,Region 30,0
Region 16,Region 31,0
Region 16,Region 32,8
Region 16,Region 33,3
Region 16,Region 34,9
Region 16,Region 35,1
Region 16,Region 36,5
Region 16,Region 37,24
Region 16,Region 38,1
Region 16,Region 39,8
Region 16,Region 40,4
Region 16,Region 41,2
Region 16,Region 42,1
Region 16,Region 43,9
Region 16,Region 44,2
Region 16,Region 45,2
Region 16,Region 46,2
Region 16,Region 47,0
Region 16,Region 48,4
Region 17,Region 1,6
Region 17,Region 2,0
Region 17,Region 3,3
Region 17,Region 4,3
Region 17,Region 5,4
Region 17,Region 6,0
Region 17,Region 7,1
Region 17,Region 8,1
Region 17,Region 9,2
Region 17,Region 10,0
Region 17,Region 11,1
Region 17,Region 12,3
Region 17,Region 13,2
Region 17,Region 14,1
Region 17,Region 15,2
Region 17,Region 16,3
Region 17,Region 17,4
Region 17,Region 18,3
Region 17,Region 19,2
Region 17,Region 20,3
Region 17,Region 21,1
Region 17,Region 22,4
Region 17,Region 23,0
Region 17,Region 24,4
Region 17,Region 25,2
Region 17,Region 26,0
Region 17,Region 27,4
Region 17,Region 28,0
Region 17,Region 29,0
Region 17,Region 30,1
Region 17,Region 31,0
Region 17,Region 32,3
Region 17,Region 33,3
Region 17,Region 34,5
Region 17,Region 35,1
Region 17,Region 36,1
Region 17,Region 37,25
Region 17,Region 38,1
Region 17,Region 39,2
Region 17,Region 40,4
Region 17,Region 41,0
Region 17,Region 42,0
Region 17,Region 43,3
Region 17,Region 44,0
Region 17,Region 45,0
Region 17,Region 46,0
Region 17,Region 47,0
Region 17,Region 48,7
Region 18,Region 1,1
Region 18,Region 2,0
Region 18,Region 3,4
Region 18,Region 4,10
Region 18,Region 5,12
Region 18,Region 6,12
Region 18,Region 7,8
Region 18,Region 8,26
Region 18,Region 9,5
Region 18,Region 10,0
Region 18,Region 11,23
Region 18,Region 12,1
Region 18,Region 13,2
Region 18,Region 14,3
Region 18,Region 15,1
Region 18,Region 16,4
Region 18,Region 17,7
Region 18,Region 18,161
Region 18,Region 19,6
Region 18,Region 20,5
Region 18,Region 21,1
Region 18,Region 22,158
Region 18,Region 23,1
Region 18,Region 24,2
Region 18,Region 25,3
Region 18,Region 26,2
Region 18,Region 27,6
Region 18,Region 28,0
Region 18,Region 29,1
Region 18,Region 30,2
Region 18,Region 31,0
Region 18,Region 32,8
Region 18,Region 33,7
Region 18,Region 34,2
Region 18,Region 35,6
Region 18,Region 36,19
Region 18,Region 37,259
Region 18,Region 38,4
Region 18,Region 39,2
Region 18,Region 40,4
Region 18,Region 41,17
Region 18,Region 42,3
Region 18,Region 43,19
Region 18,Region 44,28
Region 18,Region 45,0
Region 18,Region 46,2
Region 18,Region 47,1
Region 18,Region 48,28
Region 19,Region 1,3
Region 19,Region 2,2
Region 19,Region 3,4
Region 19,Region 4,13
Region 19,Region 5,4
Region 19,Region 6,0
Region 19,Region 7,0
Region 19,Region 8,2
Region 19,Region 9,7
Region 19,Region 10,0
Region 19,Region 11,7
Region 19,Region 12,2
Region 19,Region 13,3
Region 19,Region 14,0
Region 19,Region 15,1
Region 19,Region 16,7
Region 19,Region 17,2
Region 19,Region 18,6
Region 19,Region 19,10
Region 19,Region 20,4
Region 19,Region 21,3
Region 19,Region 22,7
Region 19,Region 23,1
Region 19,Region 24,2
Region 19,Region 25,0
Region 19,Region 26,0
Region 19,Region 27,4
Region 19,Region 28,1
Region 19,Region 29,3
Region 19,Region 30,0
Region 19,Region 31,0
Region 19,Region 32,4
Region 19,Region 33,0
Region 19,Region 34,1
Region 19,Region 35,1
Region 19,Region 36,1
Region 19,Region 37,43
Region 19,Region 38,0
Region 19,Region 39,1
Region 19,Region 40,4
Region 19,Region 41,1
Region 19,Region 42,0
Region 19,Region 43,1
Region 19,Region 44,2
Region 19,Region 45,0
Region 19,Region 46,0
Region 19,Region 47,0
Region 19,Region 48,3
Region 20,Region 1,2
Region 20,Region 2,0
Region 20,Region 3,9
Region 20,Region 4,7
Region 20,Region 5,1
Region 20,Region 6,0
Region 20,Region 7,1
Region 20,Region 8,2
Region 20,Region 9,3
Region 20,Region 10,0
Region 20,Region 11,4
Region 20,Region 12,2
Region 20,Region 13,1
Region 20,Region 14,1
Region 20,Region 15,1
Region 20,Region 16,1
Region 20,Region 17,5
Region 20,Region 18,5
Region 20,Region 19,5
Region 20,Region 20,3
Region 20,Region 21,4
Region 20,Region 22,7
Region 20,Region 23,1
Region 20,Region 24,1
Region 20,Region 25,0
Region 20,Region 26,0
Region 20,Region 27,5
Region 20,Region 28,0
Region 20,Region 29,3
Region 20,Region 30,0
Region 20,Region 31,0
Region 20,Region 32,5
Region 20,Region 33,1
Region 20,Region 34,3
Region 20,Region 35,0
Region 20,Region 36,1
Region 20,Region 37,33
Region 20,Region 38,1
Region 20,Region 39,1
Region 20,Region 40,1
Region 20,Region 41,1
Region 20,Region 42,0
Region 20,Region 43,2
Region 20,Region 44,3
Region 20,Region 45,0
Region 20,Region 46,0
Region 20,Region 47,0
Region 20,Region 48,8
Region 21,Region 1,0
Region 21,Region 2,2
Region 21,Region 3,2
Region 21,Region 4,4
Region 21,Region 5,6
Region 21,Region 6,7
Region 21,Region 7,3
Region 21,Region 8,6
Region 21,Region 9,11
Region 21,Region 10,1
Region 21,Region 11,9
Region 21,Region 12,2
Region 21,Region 13,1
Region 21,Region 14,1
Region 21,Region 15,0
Region 21,Region 16,6
Region 21,Region 17,1
Region 21,Region 18,1
Region 21,Region 19,6
Region 21,Region 20,4
Region 21,Region 21,4
Region 21,Region 22,2
Region 21,Region 23,1
Region 21,Region 24,5
Region 21,Region 25,0
Region 21,Region 26,1
Region 21,Region 27,5
Region 21,Region 28,2
Region 21,Region 29,0
Region 21,Region 30,0
Region 21,Region 31,0
Region 21,Region 32,3
Region 21,Region 33,0
Region 21,Region 34,1
Region 21,Region 35,2
Region 21,Region 36,4
Region 21,Region 37,33
Region 21,Region 38,0
Region 21,Region 39,4
Region 21,Region 40,2
Region 21,Region 41,1
Region 21,Region 42,0
Region 21,Region 43,3
Region 21,Region 44,4
Region 21,Region 45,0
Region 21,Region 46,0
Region 21,Region 47,0
Region 21,Region 48,9
Region 22,Region 1,2
Region 22,Region 2,3
Region 22,Region 3,8
Region 22,Region 4,17
Region 22,Region 5,21
Region 22,Region 6,45
Region 22,Region 7,10
Region 22,Region 8,112
Region 22,Region 9,22
Region 22,Region 10,3
Region 22,Region 11,84
Region 22,Region 12,1
Region 22,Region 13,3
Region 22,Region 14,4
Region 22,Region 15,2
Region 22,Region 16,6
Region 22,Region 17,6
Region 22,Region 18,226
Region 22,Region 19,11
Region 22,Region 20,8
Region 22,Region 21,4
Region 22,Region 22,611
Region 22,Region 23,8
Region 22,Region 24,6
Region 22,Region 25,10
Region 22,Region 26,1
Region 22,Region 27,8
Region 22,Region 28,1
Region 22,Region 29,1
Region 22,Region 30,2
Region 22,Region 31,0
Region 22,Region 32,23
Region 22,Region 33,19
Region 22,Region 34,6
Region 22,Region 35,28
Region 22,Region 36,24
Region 22,Region 37,732
Region 22,Region 38,3
Region 22,Region 39,22
Region 22,Region 40,14
Region 22,Region 41,12
Region 22,Region 42,1
Region 22,Region 43,52
Region 22,Region 44,50
Region 22,Region 45,0
Region 22,Region 46,0
Region 22,Region 47,1
Region 22,Region 48,200
Region 23,Region 1,1
Region 23,Region 2,0
Region 23,Region 3,1
Region 23,Region 4,0
Region 23,Region 5,3
Region 23,Region 6,1
Region 23,Region 7,2
Region 23,Region 8,10
Region 23,Region 9,25
Region 23,Region 10,0
Region 23,Region 11,7
Region 23,Region 12,0
Region 23,Region 13,2
Region 23,Region 14,0
Region 23,Region 15,2
Region 23,Region 16,0
Region 23,Region 17,2
Region 23,Region 18,3
Region 23,Region 19,5
Region 23,Region 20,3
Region 23,Region 21,3
Region 23,Region 22,17
Region 23,Region 23,72
Region 23,Region 24,12
Region 23,Region 25,8
Region 23,Region 26,4
Region 23,Region 27,8
Region 23,Region 28,11
Region 23,Region 29,0
Region 23,Region 30,2
Region 23,Region 31,0
Region 23,Region 32,9
Region 23,Region 33,5
Region 23,Region 34,9
Region 23,Region 35,1
Region 23,Region 36,4
Region 23,Region 37,17
Region 23,Region 38,0
Region 23,Region 39,0
Region 23,Region 40,0
Region 23,Region 41,0
Region 23,Region 42,0
Region 23,Region 43,7
Region 23,Region 44,4
Region 23,Region 45,2
Region 23,Region 46,0
Region 23,Region 47,0
Region 23,Region 48,17
Region 24,Region 1,2
Region 24,Region 2,0
Region 24,Region 3,1
Region 24,Region 4,5
Region 24,Region 5,7
Region 24,Region 6,4
Region 24,Region 7,2
Region 24,Region 8,14
Region 24,Region 9,7
Region 24,Region 10,1
Region 24,Region 11,9
Region 24,Region 12,4
Region 24,Region 13,1
Region 24,Region 14,4
Region 24,Region 15,4
Region 24,Region 16,3
Region 24,Region 17,7
Region 24,Region 18,9
Region 24,Region 19,5
Region 24,Region 20,3
Region 24,Region 21,5
Region 24,Region 22,16
Region 24,Region 23,6
Region 24,Region 24,76
Region 24,Region 25,26
Region 24,Region 26,12
Region 24,Region 27,90
Region 24,Region 28,19
Region 24,Region 29,14
Region 24,Region 30,32
Region 24,Region 31,0
Region 24,Region 32,16
Region 24,Region 33,7
Region 24,Region 34,18
Region 24,Region 35,2
Region 24,Region 36,5
Region 24,Region 37,27
Region 24,Region 38,1
Region 24,Region 39,12
Region 24,Region 40,1
Region 24,Region 41,0
Region 24,Region 42,1
Region 24,Region 43,11
Region 24,Region 44,3
Region 24,Region 45,0
Region 24,Region 46,0
Region 24,Region 47,0
Region 24,Region 48,17
Region 25,Region 1,1
Region 25,Region 2,3
Region 25,Region 3,0
Region 25,Region 4,1
Region 25,Region 5,1
Region 25,Region 6,1
Region 25,Region 7,4
